1 21:5.65953e-25 31:0.188883 84:0.0422568 94:0.146626 104:5.65953e-25 127:0.0412906 137:0.0173052 147:0.0139704 157:9.56569e-16 167:0.0233698 177:0.0929473 
1 21:2.62251e-241 31:0.20866 84:0.0468241 94:0.161744 104:9.22474e-05 127:0.0452568 137:0.0208238 147:0.0199971 157:2.22148e-239 167:0.0183488 177:0.104233 
1 21:1.10216e-27 31:0.187216 84:0.0615084 94:0.125612 104:9.6153e-05 127:4.96847e-12 137:0.011244 147:0.0907251 157:0.0308507 167:0.0543966 177:1.20632e-11 
1 21:7.71763e-51 31:0.178959 84:0.0627145 94:0.116245 104:3.45412e-21 127:2.80138e-38 137:0.00741574 147:0.0858631 157:0.032831 167:0.0528496 177:6.80164e-38 
1 21:3.09047e-97 31:0.196316 84:0.0687821 94:0.127534 104:9.12851e-31 127:1.66324e-83 137:0.00813894 147:0.0942012 157:0.0360074 167:0.0579688 177:3.8312e-83 
1 21:0.00937641 31:0.0541473 84:0.0487476 94:0.0147761 104:3.8395e-179 127:8.17385e-22 137:2.97208e-09 147:0.00173183 157:0.0210312 167:0.0407607 177:1.33153e-21 
1 21:0.0107887 31:0.0623047 84:0.0560913 94:0.0170021 104:1.59213e-233 127:1.10348e-21 137:3.34435e-09 147:0.00199292 157:0.0241995 167:0.046901 177:1.79758e-21 
1 21:0.012707 31:0.0733848 84:0.0660661 94:0.0200257 104:1.01727e-166 127:1.66405e-21 137:3.93424e-09 147:0.00234764 157:0.028503 167:0.0552412 177:2.71076e-21 
1 21:1.48372e-07 31:0.171275 84:0.0492266 94:0.121962 104:8.66767e-05 127:1.43981e-05 137:0.0199363 147:0.0801486 157:0.023566 167:0.047569 177:4.09677e-05 
1 21:1.07553e-12 31:0.202922 84:0.0663807 94:0.136542 104:4.63043e-11 127:6.11138e-32 137:0.0154839 147:0.0958634 157:0.0341228 167:0.0574523 177:9.95557e-32 
1 21:7.22657e-25 31:0.185563 84:0.038817 94:0.146656 104:8.96019e-05 127:0.0372933 137:0.0227668 147:0.0138947 157:6.11106e-09 167:0.0140782 177:0.0975295 
1 21:1.73387e-21 31:0.195104 84:0.0436574 94:0.151446 104:8.43931e-08 127:0.0426324 137:0.0178739 147:0.0144628 157:1.40122e-05 167:0.0241523 177:0.0959683 
1 21:3.18799e-14 31:0.164638 84:0.0473823 94:0.117078 104:0.000177749 127:3.09368e-12 137:0.0119158 147:0.0810726 157:0.0248014 167:0.0468484 177:8.80264e-12 
1 21:3.57211e-08 31:0.160481 84:0.0370342 94:0.123362 104:8.50998e-05 127:0.0349059 137:0.00510774 147:0.00893891 157:1.45217e-12 167:0.025541 177:0.0859876 
1 21:1.2811e-85 31:0.156714 84:0.0346688 94:0.122046 104:1.35704e-11 127:0.0333451 137:0.0122461 147:0.0121634 157:1.56018e-12 167:0.01539 177:0.0835699 
1 21:8.14598e-109 31:0.138794 84:0.0437089 94:0.0950851 104:3.61611e-08 127:1.32768e-05 137:0.0151319 147:0.0683203 157:0.0199149 167:0.0353793 177:3.44035e-05 
